spring1,spring2
-763.72702,1351.69844
253.40519,4414.75104
-411.05522,2028.19173
-483.23892,1451.7803
-367.79395,1171.61974
1717.3739,1803.72443
-536.0249,1727.57469
-512.06433,1950.1981
167.51616,2610.39034
1154.72493,1276.23845
1869.5699,1642.23196
818.01496,3820.072
-451.50138,1963.35363
1688.2493,1908.38295
739.88512,2108.7952
1267.23922,1473.04213
1686.70852,2072.49378
1096.23664,2434.53978
-935.79587,1270.40797
-517.16943,1313.77276
-324.16299,939.29898
-523.36865,1608.20919
1550.65581,1718.0379
-121.11309,1040.78905
208.58716,3648.48194
852.20417,3373.90943
1778.78928,1570.87406
-359.6079,1240.21862
1663.62644,1332.12193
-857.53584,1263.03209
2220.43765,1931.94969
1751.13778,1348.73739
-415.61035,2006.11638
1416.5366,1697.05202
1999.01224,1886.30556
-554.66677,1428.69598
228.98112,1491.67766
-317.91634,1101.25402
188.19521,3188.09284
-1014.59985,1838.6615
2279.70836,1687.91654
1057.70767,2105.41723
-435.33185,857.43481
1395.1395,1530.48509
-790.27995,1382.59656
1934.898,1637.35604
1267.82432,2102.36702
2074.33444,1717.40235
-643.89547,1152.29436
-506.39808,1243.54882
168.50033,1098.60359
-790.51463,1504.61073
185.5065,3459.72265
2076.30832,1851.91339
2060.65595,1542.40773
-887.44021,1541.36138
760.27885,2661.72164
1681.23718,2012.83314
-862.50648,1527.20424
1300.72668,2054.43932
-598.60757,1232.59351
1612.88554,1533.79097
822.62641,4135.82511
565.93631,2074.8326
2727.51752,1624.60047
1614.49102,1594.93759
835.85203,4130.1391
-878.45814,1640.18967
-762.47276,1508.93467
-865.76905,1585.46192
2874.38105,607.03979
-277.32366,1956.76323
-925.5975,1348.20494
185.16551,3741.45522
2237.20533,1615.11427
1589.25477,1407.11484
-686.36089,1242.81858
1352.56805,1519.50694
2233.14478,1920.2447
994.44654,1501.56433
1891.61476,1649.54484
1460.12974,2055.54592
1220.6555,1425.44188
-292.05102,2119.07656
638.57798,4545.05441
-240.89427,2039.80349
2477.90101,1779.62266
